id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	00l	0.3698	0.6232	2	123	158	4	2018.5
2	05wt	-1.0113	-0.427	3	131	145	4	2020.75
3	0wt	1.2433	-0.1871	5	77	121	3	2021.6667
4	100nm	0.7469	-0.4259	2	99	107	3	2009.6667
5	10ce tzp	1.1637	-0.2125	2	100	118	4	2011.75
6	10nm	0.685	0.5251	2	129	135	4	2009.75
7	13c cross polarization magic angle	-0.7511	-0.2441	3	96	103	3	2013.6667
8	13c nmr	-0.7042	-0.0315	3	367	485	12	2013.6667
9	1d carbon nanotube	-0.5444	0.0146	8	118	123	3	2018.3333
10	1h nmr	-0.8466	-0.1683	3	515	743	18	2015.5
11	1h nmr spectra	-0.8849	-0.3486	3	99	101	3	2010.6667
12	1h nmr spectroscopy	-0.768	-0.189	3	219	241	5	2014.8
13	200c	-1.0127	0.0118	7	68	115	3	2016.6667
14	2024al composite	0.8135	-0.6799	2	92	97	3	2017
15	25c	-0.2494	-0.2772	3	123	134	4	2016
16	27al nmr	0.1568	0.1232	6	86	92	3	2009.6667
17	29si nmr	-0.9263	-0.0923	3	172	213	5	2004.6
18	2d band	-0.2743	0.906	1	145	152	3	2019
19	2d material	-0.4848	0.1312	7	368	481	10	2021.2
20	2d material model	-0.2174	-1.8232	4	57	171	3	2016
21	2d nanofiller	-0.2513	-0.4141	10	109	170	3	2023
22	2d nanomaterial	-0.1782	-0.1889	4	154	168	5	2020.8
23	2d nanosheet	-0.8074	0.0315	8	159	177	5	2019
24	2gpa	1.2143	-0.252	5	124	134	3	2017.6667
25	2y tzp	0.8739	-0.143	2	82	88	3	2007
26	300c	0.6052	0.1101	2	587	824	25	2010.76
27	300k	-0.076	-0.3484	4	152	163	5	2012.6
28	300min	0.981	-0.0231	2	120	135	3	2014.6667
29	300nm	0.6573	0.3796	2	196	220	6	2012.1667
30	300oc	0.2661	-0.4677	2	114	118	3	2020.3333
31	30b	-0.7892	-0.9646	3	339	506	11	2015
32	30m	0.9443	0.7361	5	73	124	3	2013.6667
33	30min	0.7851	-0.0127	2	178	202	5	2014.8
34	30mpa	1.1634	-0.4986	2	77	87	3	2008
35	30nm	0.6306	-0.3779	2	281	372	9	2016
36	316l	0.7103	0.0601	5	337	414	9	2017.8889
37	316l ss substrate	0.5727	-0.12	5	117	128	3	2013
38	316l stainless steel	0.8279	0.0292	5	501	717	16	2017.5
39	316l stainless steel substrate	0.682	0.2403	5	177	208	4	2015.5
40	316l substrate	0.7586	-0.393	2	165	177	3	2020.3333
41	37c	0.2408	-0.2258	6	138	153	3	2019
42	3d conductive network	-0.5246	-0.3222	8	120	124	3	2017
43	3d image	0.3525	-0.3059	2	114	119	3	2019
44	3d microstructure	-0.2678	-0.2557	4	509	657	19	2018.0526
45	3d model	0.0406	-0.7461	4	233	309	8	2019
46	3d nanocomposite	-0.515	-0.0224	8	205	250	7	2015.7143
47	3d nanocomposite scaffold	-0.6181	-0.3394	6	199	300	6	2019.6667
48	3d network	-0.4041	-0.5224	3	713	1154	26	2017.8462
49	3d porous structure	-0.3122	0.0298	6	152	156	4	2016.25
50	3d printed part	-0.5385	-0.758	3	192	245	6	2020.6667
51	3d printed scaffold	-0.1104	-0.5995	6	111	181	3	2021
52	3d printer	-0.2666	-0.6444	3	343	416	11	2018.8182
53	3d printing	-0.3572	-0.4095	6	1529	2926	69	2019.971
54	3d printing process	-0.396	-0.4098	6	186	208	5	2021.4
55	3d printing technique	-0.6198	-0.3238	8	269	391	10	2018.2
56	3d printing technology	-0.3101	-0.2618	6	162	169	4	2020.25
57	3d profilometer	1.1973	0.2179	5	169	263	4	2021.75
58	3d representative volume element	-0.2453	-0.905	4	112	120	3	2022
59	3d scaffold	-0.5124	-0.275	6	434	615	12	2018.6667
60	3d space	0.2289	-0.5529	4	123	150	4	2014.75
61	3d structure	-0.465	-0.1766	6	808	1239	29	2018.8621
62	3d tomography	0.5155	-0.2205	5	114	118	3	2019
63	3d turbula dispersion	-0.4354	-0.2605	7	94	145	3	2023
64	3d variable range	-0.3531	0.7656	1	131	169	4	2017.25
65	3d vrh	-0.4016	0.7483	1	179	223	5	2013.6
66	3dap	1.4007	0.459	2	212	412	17	2005.3529
67	3dp	-0.2126	-0.6484	6	214	238	5	2019.6
68	3m espe	-0.0481	-0.8048	4	101	110	3	2019
69	3min	0.4038	-0.2606	6	90	95	3	2008
70	3wt	-0.441	-0.376	3	158	211	5	2017.8
71	3y tzp	0.8458	0.0792	2	220	310	9	2009.5556
72	3ysz	0.9352	-0.3556	2	111	180	5	2018.4
73	3ytzp	0.7292	-0.394	2	73	119	3	2013.3333
74	500c	0.949	0.0993	2	110	155	4	2009.5
75	50th cycle	0.2356	0.7078	1	116	138	4	2016.5
76	60nm	0.0107	0.2289	7	99	106	3	2014
77	700c	0.9169	0.4377	2	342	444	14	2006.4286
78	70c	-0.8167	0.0162	9	90	93	3	2017.6667
79	800nm	0.0676	-0.34	2	98	105	3	2006.3333
80	8a wt	0.5705	-0.6011	2	76	116	3	2021.6667
81	8wt	0.6583	-0.006	5	110	156	4	2019.25
82	8ysz	0.7916	-0.0635	2	106	124	4	2000.75
83	900c	0.8764	0.0256	2	431	555	16	2010.75
84	900oc	-0.118	0.7368	1	98	164	3	2017
85	90c	-0.7253	0.2734	3	160	186	5	2015.8
86	950c	1.0382	0.4077	5	108	113	3	2017.3333
87	a cm	0.155	0.8184	1	303	354	8	2015.375
88	a cm2	0.6295	0.1205	5	597	851	22	2019.5
89	a mm	-0.3632	0.5483	1	203	232	6	2015.3333
90	a12o3	0.6916	0.0059	2	105	111	4	2002.5
91	a356	0.9949	-0.5928	2	387	585	17	2016.4706
92	a356 alloy	0.859	-0.7426	2	159	196	5	2018
93	aa1050	0.8962	-0.7326	2	120	183	4	2016.5
94	aa2024	0.951	-0.5981	2	234	332	10	2020.2
95	aa2024 alloy	0.9154	-0.581	2	172	203	5	2020.8
96	aa6061	0.7888	-0.6541	2	267	337	9	2019.8889
97	aa6061 t6	1.0838	-1.0732	2	98	171	4	2018.5
98	aa7075	0.8897	-0.6696	2	248	362	10	2021.2
99	aac	-0.5026	0.0466	6	233	271	7	2020.1429
100	aacvd	0.4982	0.3802	5	79	92	3	2013.3333
101	aam	-0.7372	-0.1403	6	340	435	10	2019.1
102	aao	0.0224	0.3939	1	279	357	11	2013.7273
103	aao template	0.3214	0.5189	2	98	110	4	2014.5
104	aas	-0.3451	0.3148	1	260	324	7	2018.4286
105	ab initio calculation	0.3961	-0.2542	4	155	173	5	2018.6
106	ab2	0.2747	0.8357	1	60	88	3	2006.6667
107	abaqus explicit	-0.1035	-1.0897	4	92	100	3	2019
108	abaqus software	-0.1823	-1.0205	4	173	196	5	2018
109	aberration	0.5161	0.3549	11	136	182	5	2019
110	ability	-0.1079	0.0681	6	8165	24750	605	2017.0893
111	ablation	0.3111	0.2775	5	258	313	11	2015.8182
112	ablation property	0.4144	-0.1899	2	113	133	5	2013.2
113	ablation resistance	0.2645	-0.0575	8	250	305	10	2018.9
114	ablative performance	-0.4959	-0.4196	3	108	113	3	2020.3333
115	abnormal grain growth	1.0249	-0.2562	2	396	574	18	2008.8889
116	abnormal increase	0.2486	0.0089	2	141	151	4	2016.5
117	above factor	-0.6336	-0.0976	6	120	131	3	2021.6667
118	above finding	0.9265	-0.4316	2	103	121	3	2021
119	above issue	0.3371	0.1797	8	150	164	4	2019.25
120	above problem	0.1266	0.3201	8	293	314	4	2022
121	above property	-0.4969	-0.3487	3	138	149	4	2015
122	above result	0.0085	0.182	8	448	574	15	2013.6
123	above tg	-0.8129	-0.318	3	101	107	3	2012.3333
124	abovementioned property	-0.247	-0.4205	6	118	124	3	2020
125	abrasife	0.689	0.2297	1	155	196	5	2008.2
126	abrasion	0.6264	-0.1456	5	1120	1814	45	2016.8222
127	abrasion loss	-0.9741	-0.4054	13	179	235	5	2019
128	abrasion resistance	-0.0645	-0.4381	3	963	1575	41	2015.1951
129	abrasive	0.9909	-0.3701	2	190	227	7	2015.1429
130	abrasive wear	1.0056	-0.2297	5	1227	2367	58	2016.569
